ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Stagg Dynamite Chili W/Bns,13.5,0.74,0.62,1.24,0.33,0.27,4.2,0.18,34.9,31.5,0.12,1.8
Stagg Ranchhouse Chili W/Bns,11.5,0.78,0.36,1.28,0.35,0.23,4.6,0.17,32.9,35.1,0.21,1.9
Stagg Silverado Chili W/Bns,9.2,0.73,0.11,1.34,0.33,0.29,3.6,0.15,35.0,33.0,0.21,1.6
Steelhead Trout,27.05,4.92,0.82,0.0,0.0,0.0,5.75,0.18,148.4,104.25,0.0,14.3
Stew,9.08,0.79,0.29,0.83,0.13,0.03,1.88,0.13,9.32,13.52,0.02,1.68
Stew/Soup,4.1,0.38,0.07,0.48,0.01,0.0,0.7,0.02,7.2,8.4,0.15,0.0
Stouffer'S Chick Pie,25.9,0.72,1.55,2.26,0.14,0.37,5.1,0.1,41.6,16.4,0.03,2.2
Stouffer'S Crmd Chipped Bf,11.0,0.75,0.57,0.71,0.04,0.34,8.1,0.07,47.1,18.4,0.0,2.5
Stouffer'S Homestyle Salisbury Steak In Gravy & Mac& Chs,10.2,0.64,0.52,0.75,0.15,0.2,1.7,0.07,16.3,19.0,0.17,1.4
Stouffer'S Lasagna W/ Meat & Sau,11.6,0.8,0.38,1.26,0.11,0.22,6.9,0.06,31.2,15.8,0.06,1.3
Stouffer'S Ln Cuisine Chick & Veg W/ Vermicelli,7.8,0.67,0.17,0.89,0.13,0.15,5.5,0.05,21.3,23.3,0.09,1.0
Stouffer'S Ln Cuisine Hs Bf Pot Rst W/ Whipped Potatoes,7.2,0.5,0.21,0.83,0.12,0.14,2.8,0.06,30.1,35.1,0.13,0.8
Stouffer'S Ln Cuisine Hs Stuff Cab W/ Meat Sau&Whped Pot,7.3,0.4,0.23,0.91,0.15,0.22,3.3,0.06,26.4,27.2,0.02,0.5
Stouffer'S Ln Cuisine Macaroni & Bf In Tomato Sau,9.1,0.61,0.15,1.32,0.17,0.39,3.0,0.06,20.1,27.3,0.08,0.6
